Timestamp,Ticker,Weighted_Score,Polarized_Score,Articles_Count
2026-06-25 12:08:09,RVNL.NS,0.75,1.0,4
2026-06-25 12:08:12,IRFC.NS,1.0,1.0,4
2026-06-25 12:08:16,NHPC.NS,0.6,1.0,5
2026-06-25 12:08:22,NBCC.NS,0.6,1.0,5
2026-06-25 12:08:45,RITES.NS,1.0,1.0,4
2026-06-25 12:08:51,IRCON.NS,0.5,1.0,2
2026-06-25 12:08:55,RADICO.NS,0.2,0.33,5
2026-06-25 12:09:04,IDEA.NS,0.0,0.0,5
2026-06-25 12:09:11,JIOFIN.NS,0.4,1.0,5
2026-06-25 12:09:22,AAPL,0.05,0.11,20
2026-06-25 12:09:26,MSFT,0.2,0.4,20
2026-06-25 12:09:30,GOOGL,0.15,0.6,20
2026-06-25 12:09:34,TSLA,-0.15,-0.27,20
2026-06-25 12:09:38,NVDA,0.1,0.33,20
2026-06-25 12:09:42,^NSEI,0.25,1.0,4
2026-06-25 12:09:46,^GSPC,0.35,0.78,20
2026-06-25 12:09:50,^IXIC,0.25,0.71,20
2026-06-25 12:09:54,USO,-0.38,-0.43,8
2026-06-26 12:01:22,TCS.NS,0.0,0.0,1
2026-06-26 12:01:32,INFY.NS,0.5,1.0,6
2026-06-26 12:01:35,ITC.NS,0.67,1.0,3
2026-06-26 12:01:39,SBIN.NS,0.33,1.0,3
2026-06-26 12:01:46,LT.NS,0.4,0.5,5
2026-06-26 12:01:56,TMCV.NS,0.6,1.0,5
2026-06-26 12:02:06,TITAN.NS,-0.25,-0.33,4
2026-06-26 12:02:16,NTPC.NS,0.8,1.0,5
2026-06-26 12:02:20,ONGC.NS,1.0,1.0,1
2026-06-26 12:02:27,WIPRO.NS,0.0,0.0,1
2026-06-26 12:02:43,GRASIM.NS,0.6,1.0,5
2026-06-26 12:02:47,TECHM.NS,0.6,1.0,5
2026-06-26 12:02:54,RECLTD.NS,0.0,0.0,1
2026-06-26 12:02:57,PFC.NS,0.67,1.0,3
2026-06-26 12:03:11,BHEL.NS,0.5,1.0,4
2026-06-26 12:03:14,TRENT.NS,0.5,1.0,2
2026-06-26 12:03:21,VOLTAS.NS,0.0,0.0,4
2026-06-26 12:03:24,LUPIN.NS,0.8,1.0,5
